name,city,income,credit_score,loan_amount,employment_years,points,loan_approved,loan_to_income
Allison Hill,East Jill,113810,389,1000000,27,50,False,8.786574114752659
Brandon Hall,New Jamesside,44592,729,15446,28,55,False,0.3463850017940438
Rhonda Smith,Lake Roberto,33278,584,11189,13,45,False,0.33622813871025903
Gabrielle Davis,West Melanieview,127196,344,48823,29,50,False,0.38384068681405076
Valerie Gray,Mariastad,66048,496,47174,4,25,False,0.7142381298449613
Darren Roberts,Port Jesseville,62098,689,19217,29,65,True,0.30946246255918064
Holly Wood,Lake Joseph,59256,1000,40920,40,35,False,0.690562980963953
Nicholas Martin,Nelsonside,48289,524,45866,20,25,False,0.9498229410424734
Patty Perez,Port Leslieview,126530,367,14826,36,55,False,0.11717379277641667
Emily Rios,Wilkersonmouth,43434,446,18359,8,20,False,0.422687295666989
Justin Baker,Hurstfurt,118696,670,15373,8,75,True,0.12951573768282
Ann Williams,East Courtneychester,127080,365,26216,24,55,False,0.2062952470884482
Julie King,Lake Jenniferside,146939,573,43006,21,50,False,0.29267927507332975
Jeffrey Chavez,Teresaburgh,101482,819,7973,40,100,True,0.07856565696379654
Mark Lynch,West Kathryn,41395,843,1037,38,80,True,0.02505133470225873
Alec Hickman,Johnbury,107397,380,6613,31,60,True,0.06157527677681872
Vanessa Patel,East Donna,85302,469,18370,33,50,False,0.21535251225059202
Jenny Lewis,Lake Larry,34165,682,29711,33,50,False,0.8696326650080491
David Brown,New Angelashire,33905,525,1471,4,30,False,0.04338593127857248
Amy Jones,Port Markhaven,42280,543,19250,31,25,False,0.4552980132450331
Carlos Walls,Sanchezfort,58657,716,13478,6,65,True,0.22977649726375368
Jeffrey Henderson,Shieldston,60495,400,4972,25,50,False,0.0821886106289776
Rebecca Rodriguez,East Amanda,96237,443,28648,11,45,False,0.29768176480979247
David Leblanc,Mortonside,108907,400,4315,34,60,True,0.03962096100342494
Tracy House,East Richard,33478,792,15008,25,60,True,0.4482944022940438
Carmen Smith,Bakermouth,103563,592,28722,35,65,True,0.2773384316792677
Katelyn Lee,North Beth,56062,362,21552,3,30,False,0.3844315222432307
John Calhoun,North Susan,123850,382,13178,4,45,False,0.10640290674202664
Megan Young,New Johnton,115181,383,28474,37,55,False,0.24721091152186558
Emily Green,Johnfurt,121924,434,45019,19,50,False,0.36923821396935796
Timothy Walls,South Christineshire,101426,402,5801,34,60,True,0.05719440774554848
Derek Mahoney,East Mikeburgh,84987,748,36600,19,75,True,0.4306541000388295
Victoria Valdez,Lake Lisaport,58893,406,9800,16,45,False,0.16640347749308068
Brian Tran,Juanborough,88878,651,14342,40,65,True,0.16136726749026756
Kathy King,North Cynthiaview,107236,345,1232,21,60,True,0.01148867917490395
Mandy Green,Arnoldchester,66463,309,8331,4,35,False,0.12534793795043858
Melissa Hernandez,Port Mikeside,136093,451,29166,8,50,False,0.21430933258874446
Jacob Fitzpatrick,West Jasonbury,143940,405,24178,35,55,False,0.16797276643045714
